,Unnamed: 0.2,Unnamed: 0.1,id,name,Unnamed: 0,availability,roomleft,dis_from_des,latitude,longitude,free_cancel,pay_later,price_display,price_original,discount_percent,review_score,review_count,vip,have_free_breakfast,have_pool,have_hot_tub,price,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,kmeans_10,agglomerative_5,agglomerative_6,agglomerative_7,agglomerative_8,agglomerative_9,agglomerative_10,spectral_5,spectral_6,spectral_7,spectral_8,spectral_9,spectral_10,price_regressor,price_test
732,756,756,12014455,Syama Sukhumvit 20,756,0,0.0,2.08,13.73374,100.56356,0,0,,,0.0,4.1,181,0,0,1,0,,2,4,6,3,1,1,0,3,3,1,0,1,1,0,0,6,0,0,,58.50540542602539
733,757,757,37237777,OHO Inn Ratchada,757,0,0.0,3.53,13.781879,100.574826,0,0,,,0.0,4.5,4,0,0,0,0,,2,4,5,1,7,8,0,3,3,1,0,1,1,0,0,6,0,0,,43.04603576660156
734,758,758,20632372,Baan Saladaeng Boutique Guesthouse,758,0,0.0,1.47,13.726254,100.536984,0,0,,,0.0,4.1,28,0,0,0,0,,2,4,6,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,,39.399776458740234
735,759,759,11943973,Romance Hotel Srinakarin,759,0,0.0,8.72,13.675985,100.643067,0,0,,,0.0,3.0,16,0,0,0,0,,1,3,0,5,4,6,1,0,6,6,6,6,3,4,5,5,7,7,,31.680570602416992
736,760,760,12813411,Tints of Blue Hotel,760,0,0.0,2.02,13.737131,100.564083,0,0,,,0.0,4.6,456,0,0,1,0,,2,4,6,3,1,1,0,3,3,1,0,1,1,0,0,6,0,0,,133.93968200683594
737,761,761,17082627,Villa Cha-Cha Khaosan-Rambuttri,761,0,0.0,2.68,13.75944,100.498012,0,0,,,0.0,3.7,133,0,0,0,0,,0,0,2,7,3,9,0,3,3,1,0,4,4,2,4,0,5,1,,26.400474548339844
738,762,762,13323285,The Plimplace 2,762,0,0.0,5.78,13.824922,100.56874,0,0,,,0.0,4.2,21,0,0,1,0,,3,2,5,1,7,8,0,5,5,5,5,5,1,0,0,6,0,0,,45.905216217041016
739,763,763,42592938,44 Room Rama 3,763,0,0.0,4.12,13.688012,100.531158,0,0,,,0.0,5.0,3,0,0,0,0,,2,0,6,0,6,3,0,3,3,1,0,1,3,0,0,1,0,0,,79.03816986083984
740,764,764,15215925,The Pavilion Place,764,0,0.0,1.27,13.729608,100.531837,0,0,,,0.0,3.1,122,0,0,0,0,,2,0,6,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,,37.86888885498047
741,765,765,27437231,Intown Residence,765,0,0.0,1.84,13.72973,100.5156,0,0,,,0.0,4.0,29,0,0,0,0,,0,0,2,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,,39.399776458740234
742,766,766,36405798,P18 Hotel,766,0,0.0,0.24,13.74956,100.533098,0,0,,,0.0,4.6,22,0,0,0,0,,2,4,6,3,1,1,0,3,3,1,0,1,1,0,0,6,0,0,,81.24564361572266
743,767,767,9086098,Eleven Avenue Suites,767,0,0.0,1.44,13.74095,100.55631,0,0,,,0.0,3.7,253,0,0,0,0,,2,4,6,3,1,1,0,3,3,1,0,1,1,0,0,6,0,0,,38.30296325683594
744,768,768,20260553,The Connex Asoke,768,0,0.0,1.87,13.735756,100.561044,0,0,,,0.0,4.2,97,0,0,0,0,,2,4,6,3,1,1,0,3,3,1,0,1,1,0,0,6,0,0,,64.24555969238281
745,769,769,8725637,Ratchadamnoen Residence,769,0,0.0,2.33,13.757102,100.50279,0,0,,,0.0,4.1,141,0,0,0,0,,0,0,2,7,3,9,0,3,3,1,0,4,4,2,4,0,5,1,,44.33356857299805
746,770,770,12516574,Livotel Hotel Kaset Nawamin Bangkok,770,0,0.0,7.08,13.839587,100.582318,0,0,,,0.0,3.9,115,0,0,0,0,,3,2,5,1,7,8,0,5,5,5,5,5,1,0,0,6,0,0,,32.451927185058594
747,771,771,9523018,PMTK Residence,771,0,0.0,5.06,13.812041,100.571747,0,0,,,0.0,5.0,1,0,0,1,0,,3,2,5,1,7,8,0,5,5,5,5,5,1,0,0,6,0,0,,180.63604736328125
748,772,772,7048337,OYO 870 12 PM Bangkok,772,0,0.0,1.13,13.736975,100.548841,0,0,,,0.0,3.5,91,0,0,0,0,,2,4,6,3,1,1,0,3,3,1,0,1,1,0,0,6,0,0,,51.67432403564453
749,773,773,16083750,Cozy at 9 Hotel and Kitchen,773,0,0.0,2.07,13.75596,100.565602,0,0,,,0.0,4.2,14,0,0,0,0,,2,4,6,3,1,1,0,3,3,1,0,1,1,0,0,6,0,0,,35.569610595703125
750,774,774,5552849,SP Residence Suvarnabhumi,774,0,0.0,17.62,13.71964,100.797012,0,0,,,0.0,3.3,143,0,0,1,0,,4,1,3,2,2,2,1,0,2,2,2,2,0,1,6,4,3,4,,30.89170265197754
751,775,775,23540138,Platinum Villa,775,0,0.0,0.85,13.758543,100.541576,0,0,,,0.0,3.7,47,0,0,0,0,,2,4,6,3,1,1,0,3,3,1,0,1,1,0,0,6,0,0,,24.096576690673828
752,776,776,2193526,Diamond House,776,0,0.0,2.72,13.762924,100.498756,0,0,,,0.0,3.9,163,0,0,0,1,,0,0,2,7,3,9,0,3,3,1,0,4,4,2,4,0,5,1,,33.979103088378906
753,777,777,19789436,Sweety Resort,777,0,0.0,13.36,13.644022,100.704072,0,0,,,0.0,4.1,40,0,0,0,1,,4,1,3,2,2,2,1,0,2,2,2,2,0,4,5,5,7,7,,60.25578308105469
754,779,779,2664554,A-One Boutique Hotel,779,0,0.0,3.43,13.746857,100.58713,0,0,,,0.0,3.7,43,0,0,1,0,,2,4,6,3,1,1,0,3,3,1,0,1,1,0,0,6,0,0,,34.789466857910156
755,780,780,18489775,Oscar Sukhumvit Bangkok,780,0,0.0,2.42,13.731966,100.568294,0,0,,,0.0,3.8,34,0,0,0,0,,2,4,6,3,1,1,0,3,3,1,0,1,1,0,0,6,0,0,,33.55562973022461
756,781,781,1437442,Luxx at Silom,781,0,0.0,1.63,13.726238,100.525331,0,0,,,0.0,3.5,82,0,0,0,0,,2,0,6,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,,43.490875244140625
757,782,782,8458454,JS Tower Service Apartment,782,0,0.0,5.15,13.700675,100.595722,0,0,,,0.0,3.4,59,0,0,0,0,,1,3,0,5,4,6,1,0,6,6,6,6,3,4,5,5,7,7,,31.680570602416992
758,783,783,7696844,BS Court Boutique Residence,783,0,0.0,1.75,13.722186,100.536744,0,0,,,0.0,3.9,91,0,0,0,0,,2,4,6,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,,49.592166900634766
759,784,784,18906990,Sunflower Place,784,0,0.0,1.41,13.728061,100.529847,0,0,,,0.0,4.1,132,0,0,0,0,,2,0,6,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,,50.26727294921875
760,785,785,41380979,RoomQuest Ratchada,785,0,0.0,3.95,13.79023,100.575142,0,0,,,0.0,4.4,7,0,0,0,0,,2,4,5,1,7,8,0,3,3,1,0,1,1,0,0,6,0,0,,28.291418075561523
761,786,786,39171749,OYO 960 The Urban Age DeLuxe,786,0,0.0,1.38,13.728497,100.529509,0,0,,,0.0,4.3,3,0,0,0,0,,2,0,6,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,,39.018951416015625
762,788,788,36895849,Prapai Place Don Muang,788,0,0.0,10.86,13.897258,100.585244,0,0,,,0.0,4.5,2,0,0,0,0,,3,2,1,4,5,0,2,2,0,3,3,3,2,3,1,7,4,9,,40.610198974609375
763,789,789,27262560,Into The Forest Resort,789,0,0.0,11.96,13.650414,100.683587,0,0,,,0.0,4.2,35,0,0,1,0,,4,1,0,5,4,6,1,0,6,6,6,6,3,4,5,5,7,7,,49.347442626953125
764,791,791,42672383,IWISH Hotel,791,1,5.0,1.51,13.856429,100.544063,0,0,22.0,90.0,76.0,3.7,3,0,0,0,0,56.0,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,56.0,
765,793,793,5773980,Mida Hotel Ngamwongwan,793,1,4.0,0.11,13.858818,100.523274,1,0,31.0,31.0,0.0,3.5,41,0,0,1,0,31.0,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,31.0,
766,794,794,75819659,Meesook Residence,794,1,4.0,1.55,13.85683,100.54462,1,0,16.0,27.0,40.0,4.0,1,0,0,0,0,21.5,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,21.5,
767,795,795,11779675,Regent Ngamwongwan,795,1,4.0,0.46,13.859829,100.528419,1,0,16.0,46.0,66.0,3.6,23,0,0,0,0,31.0,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,31.0,
768,796,796,13353159,Dae Ma Place,796,1,7.0,1.15,13.863911,100.505313,1,0,18.0,18.0,0.0,3.8,18,0,0,0,0,18.0,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,18.0,
769,797,797,20450067,Twenty Nine KV Apartel,797,1,3.0,1.18,13.874885,100.528387,1,0,16.0,17.0,10.0,4.4,12,0,0,0,0,16.5,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,16.5,
770,798,798,17418048,The Pixel Places,798,1,2.0,0.98,13.861259,100.507246,1,0,18.0,18.0,0.0,3.9,24,0,0,0,0,18.0,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,18.0,
771,800,800,37837974,Iwish Hotel,800,1,2.0,1.36,13.856548,100.541681,1,0,27.0,27.0,0.0,4.5,2,0,0,0,0,27.0,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,27.0,
772,801,801,11540360,Bed by Boat Hotel & Apartment,801,1,4.0,1.95,13.843765,100.497324,1,0,18.0,18.0,0.0,3.6,31,0,0,0,0,18.0,3,2,1,4,0,4,2,2,0,7,7,7,4,2,4,0,5,1,18.0,
773,802,802,18924132,13 Coins Ngamwongwan Hotel,802,1,4.0,1.08,13.850659,100.535173,1,0,17.0,28.0,40.0,4.0,1,0,0,0,0,22.5,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,22.5,
774,803,803,8335807,Bed by Cruise at Samakkhi-Tivanont,803,1,5.0,2.06,13.887058,100.51111,1,0,18.0,18.0,0.0,4.1,39,0,0,0,0,18.0,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,18.0,
775,804,804,8396942,Vanlisut Hotel Ngamwongwan,804,1,3.0,0.91,13.85794,100.535113,1,0,13.0,15.0,10.0,4.0,28,0,0,0,0,14.0,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,14.0,
776,806,806,15585551,The Garden Place,806,1,2.0,1.4,13.848895,100.539656,1,0,14.0,14.0,0.0,3.6,10,0,0,0,0,14.0,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,14.0,
777,807,807,10990611,V.Resotel Hotel,807,1,4.0,2.84,13.870825,100.48101,1,0,32.0,32.0,0.0,4.3,41,0,0,0,0,32.0,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,32.0,
778,808,808,8336651,Ma Non Nont Hotel & Apartment,808,1,6.0,2.04,13.886966,100.511773,1,0,14.0,14.0,0.0,3.6,17,0,0,0,0,14.0,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,14.0,
779,809,809,18638525,Nonriver Place,809,1,8.0,2.26,13.842202,100.492743,1,0,19.0,19.0,0.0,4.0,1,0,0,0,0,19.0,3,2,1,4,0,4,2,2,0,7,7,7,4,2,4,0,5,1,19.0,
780,810,810,34019917,Malizon Hotel & Residences,810,1,4.0,1.52,13.837155,100.519638,1,0,24.0,28.0,15.0,4.5,2,0,0,0,0,26.0,3,2,1,4,0,4,2,2,0,7,7,7,4,2,4,0,5,1,26.0,
781,811,811,7795004,MAMBA and Baan Aranya Serviced Apartment,811,1,5.0,1.59,13.856398,100.498131,1,1,23.0,23.0,0.0,3.2,6,0,1,0,0,23.0,3,2,1,4,0,4,2,2,0,7,7,7,4,2,4,0,5,1,23.0,
782,813,813,12566193,Grand Ratchapruek Hotel,813,1,3.0,6.16,13.916234,100.451161,1,0,54.0,83.0,35.0,4.1,14,0,0,0,0,68.5,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,68.5,
783,814,814,5982452,Chang Siam Inn,814,1,1.0,7.55,13.752501,100.546387,1,1,16.0,16.0,0.0,3.8,268,0,0,0,0,16.0,2,4,6,3,1,1,0,3,3,1,0,1,1,0,0,6,0,0,16.0,
784,815,815,21888468,Tinidee Hotel Bangkok Golf Club,815,1,6.0,8.59,13.981698,100.542854,1,1,32.0,43.0,25.0,4.0,24,0,0,1,0,37.5,3,2,1,4,5,0,2,2,0,3,3,3,2,3,1,7,4,9,37.5,
785,816,816,69352973,Novotel Bangkok Future Park Rangsit,816,1,4.0,11.41,13.995555,100.617459,0,0,57.0,57.0,0.0,4.1,11,0,0,1,0,57.0,3,2,1,4,5,0,2,2,0,3,3,3,2,3,1,7,4,9,57.0,
786,817,817,18626323,Earth Mansion,817,1,5.0,16.27,13.758701,100.302233,1,0,14.0,14.0,0.0,4.5,12,0,0,0,0,14.0,0,5,4,6,8,7,3,1,1,0,1,0,4,5,2,1,8,8,14.0,
787,818,818,10121759,The Idle Hotel and Residence,818,1,4.0,18.57,14.11232,100.614641,1,0,32.0,37.0,15.0,4.0,84,0,0,1,0,34.5,3,2,1,4,5,0,4,4,4,4,4,9,2,3,1,7,4,9,34.5,
788,820,820,8438821,The Legacy Hotel,820,0,0.0,0.72,13.860706,100.532273,0,0,,,0.0,3.2,12,0,0,0,0,,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,,22.165876388549805
789,821,821,21362625,OYO 349 Aroonrung House,821,0,0.0,3.06,13.838003,100.481516,0,0,,,0.0,4.4,10,0,0,0,0,,3,2,1,7,0,4,2,2,0,7,7,7,4,2,4,0,5,1,,25.607099533081055
790,827,827,17425996,Namnon Place,827,0,0.0,2.08,13.840596,100.497268,0,0,,,0.0,3.8,6,0,0,0,0,,3,2,1,4,0,4,2,2,0,7,7,7,4,2,4,0,5,1,,21.65312957763672
791,829,829,39606755,OYO 274 Meesook Residence,829,0,0.0,1.59,13.857028,100.545251,0,0,,,0.0,3.5,10,0,0,0,0,,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,,22.812360763549805
792,830,830,7869384,Riski Residence,830,0,0.0,0.95,13.855377,100.535217,0,0,,,0.0,3.5,8,0,0,0,0,,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,,22.165876388549805
793,832,832,18605173,Max Pavillage Bangkok,832,0,0.0,1.21,13.860792,100.539657,0,0,,,0.0,4.0,5,0,0,1,0,,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,,38.7371826171875
794,834,834,12031889,The Grand Rewadee,834,0,0.0,0.39,13.855672,100.517084,0,0,,,0.0,3.9,14,0,0,0,0,,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,,34.81736755371094
795,835,835,21640057,Baanthanam-nont,835,0,0.0,2.41,13.83613,100.494558,0,0,,,0.0,4.6,7,0,0,0,0,,3,2,1,7,0,4,2,2,0,7,7,7,4,2,4,0,5,1,,43.5649528503418
796,836,836,18685447,Krit Place,836,0,0.0,1.9,13.879654,100.502865,0,0,,,0.0,4.0,4,0,0,0,0,,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,,26.100780487060547
797,837,837,11017767,Bangkok Travel Suites,837,0,0.0,0.78,13.855099,100.532531,0,0,,,0.0,3.3,9,0,0,0,0,,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,,22.165876388549805
798,838,838,19176851,TC Mansion,838,0,0.0,1.32,13.877761,100.525672,0,0,,,0.0,3.0,1,0,0,0,0,,3,2,1,4,0,4,2,2,0,7,7,7,2,2,4,0,5,1,,22.165876388549805
799,840,840,12465976,Beerapan Hotel,840,1,5.0,1.18,13.715456,100.469882,1,0,14.0,14.0,0.0,3.7,3,0,0,0,0,14.0,0,0,2,0,3,3,0,3,3,1,0,1,4,0,0,1,0,0,14.0,
800,841,841,14867661,Zenniq,841,1,4.0,0.37,13.721131,100.490331,1,0,43.0,86.0,50.0,3.8,35,0,0,0,0,64.5,0,0,2,0,6,3,0,3,3,1,0,1,4,0,0,1,0,0,64.5,
801,842,842,53946502,Amanah Bangkok,842,1,4.0,0.53,13.723317,100.491086,0,0,31.0,51.0,40.0,4.0,1,0,0,1,0,41.0,0,0,2,0,6,3,0,3,3,1,0,1,4,0,0,1,0,0,41.0,
802,843,843,32039796,Anurak Guesthouse,843,1,2.0,1.29,13.698227,100.483777,0,0,9.0,9.0,0.0,4.0,2,0,0,0,0,9.0,0,0,2,0,6,3,0,3,3,1,0,1,3,0,0,1,0,0,9.0,
803,844,844,18639525,Kaya Place,844,1,4.0,0.45,13.721715,100.491527,1,0,70.0,117.0,40.0,2.6,8,0,0,0,0,93.5,0,0,2,0,6,3,0,3,3,1,0,1,4,0,0,1,0,0,93.5,
804,845,845,14739807,The Star of Sathorn,845,1,1.0,0.6,13.719678,100.4958,1,0,42.0,72.0,42.0,4.6,165,0,0,0,0,57.0,0,0,2,0,6,3,0,3,3,1,0,1,3,0,0,1,0,0,57.0,
805,846,846,33096855,Capella Bangkok,846,1,4.0,1.66,13.69291,100.49244,1,1,618.0,618.0,0.0,5.0,1,0,0,1,0,618.0,0,0,2,0,6,3,0,3,3,1,0,1,3,0,0,1,0,0,618.0,
806,847,847,11787748,Bed by Tha-Pra Hotel and Apartment,847,1,2.0,1.69,13.72368,100.4633,1,0,22.0,22.0,0.0,3.6,26,0,0,0,0,22.0,0,0,2,7,3,9,0,3,3,1,0,1,4,0,0,1,0,0,22.0,
807,848,848,19358962,Rio Monte Residence,848,1,1.0,2.07,13.696917,100.510839,1,0,21.0,21.0,0.0,4.2,20,0,0,1,0,21.0,0,0,2,0,6,3,0,3,3,1,0,1,3,0,0,1,0,0,21.0,
808,849,849,5268686,OYO 75385 Hotel Win Long,849,1,6.0,2.08,13.726068,100.516784,1,0,13.0,30.0,56.0,3.3,46,0,0,0,0,21.5,0,0,2,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,21.5,
809,850,850,38235821,OYO 225 Premier Place Hotel,850,1,4.0,2.08,13.726585,100.516645,1,1,35.0,35.0,0.0,3.4,9,0,0,0,0,35.0,0,0,2,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,35.0,
810,851,851,12788418,Pho Place,851,1,4.0,2.25,13.738448,100.512163,1,1,35.0,35.0,0.0,4.1,113,0,0,0,0,35.0,0,0,2,0,6,3,0,3,3,1,0,1,4,0,0,6,0,0,35.0,
811,852,852,2193501,China Town Hotel,852,1,4.0,2.25,13.739498,100.511259,0,0,27.0,27.0,0.0,3.7,262,0,0,0,0,27.0,0,0,2,0,6,3,0,3,3,1,0,1,4,0,0,6,0,0,27.0,
812,853,853,3224492,Arawana Express Chinatown,853,1,2.0,2.28,13.742608,100.508093,0,0,26.0,44.0,40.0,3.7,151,0,0,0,0,35.0,0,0,2,0,6,3,0,3,3,1,0,1,4,0,0,6,0,0,35.0,
813,854,854,35191682,Chocolate Box Mint,854,1,2.0,2.45,13.72548,100.522677,1,0,32.0,65.0,50.0,4.5,11,0,0,0,0,48.5,0,0,2,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,48.5,
814,855,855,26526202,Metro Hotel,855,1,2.0,2.45,13.737265,100.517023,1,1,28.0,54.0,48.0,3.7,61,0,0,0,0,41.0,0,0,2,0,6,3,0,3,3,1,0,1,1,0,0,6,0,0,41.0,
815,856,856,8508370,SK Boutique Maha Nakhon,856,1,1.0,2.46,13.737379,100.517196,1,0,38.0,38.0,0.0,3.3,158,0,0,0,0,38.0,0,0,2,0,6,3,0,3,3,1,0,1,1,0,0,6,0,0,38.0,
816,857,857,7754610,Baan Wanglang Riverside,857,1,4.0,2.65,13.754778,100.486487,1,0,65.0,65.0,0.0,4.2,358,0,0,0,0,65.0,0,0,2,7,3,9,0,3,3,1,0,4,4,2,4,0,5,1,65.0,
817,858,858,75819658,A Sleep Bangkok Sathorn,858,1,2.0,2.84,13.718948,100.529738,1,0,19.0,31.0,40.0,5.0,1,0,0,0,0,25.0,2,0,6,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,25.0,
818,859,859,29838028,Samyan Serene Hotel,859,1,1.0,2.88,13.732251,100.527164,1,1,37.0,87.0,57.0,3.8,23,0,0,0,0,62.0,2,0,6,0,6,3,0,3,3,1,0,1,3,0,0,6,0,0,62.0,
819,860,860,4862443,Baan Noppawong,860,1,1.0,2.92,13.75632,100.50216,1,0,127.0,127.0,0.0,4.6,84,0,0,0,1,127.0,0,0,2,7,3,9,0,3,3,1,0,4,4,2,4,0,5,1,127.0,
820,861,861,8668830,Khaosan Park Resort,861,1,2.0,2.96,13.758131,100.497833,1,0,17.0,19.0,11.0,3.5,124,0,0,0,0,18.0,0,0,2,7,3,9,0,3,3,1,0,4,4,2,4,0,5,1,18.0,
821,862,862,11588460,Tanee Place,862,1,2.0,3.12,13.760447,100.498034,1,0,17.0,19.0,10.0,3.7,109,0,0,0,0,18.0,0,0,2,7,3,9,0,3,3,1,0,4,4,2,4,0,5,1,18.0,
